==79074== NVPROF is profiling process 79074, command: ./lassen-executable/hotspot_11 1024 2 2 ../../data/hotspot/temp_1024 ../../data/hotspot/power_1024 output.out
==79074== Profiling application: ./lassen-executable/hotspot_11 1024 2 2 ../../data/hotspot/temp_1024 ../../data/hotspot/power_1024 output.out
WG size of kernel = 16 X 16
alloc FilesavingTemp
Number of allocated Data = 1
in api range: 0x200060000000 0x200060400000
alloc FilesavingPower
Number of allocated Data = 2
in api range: 0x200060400000 0x200060800000
pyramidHeight: 2
gridSize: [1024, 1024]
border:[2, 2]
blockGrid:[86, 86]
targetBlock:[12, 12]
Number of allocated Data = 3
in api range: 0x200060800000 0x200060c00000
Start computing the transient temperature
Ending simulation
removing 0 1
==79074== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
1.67671s  3.3600us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060a10000  [Unified Memory Memcpy DtoH]
1.67674s         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060a10000  [Unified Memory CPU page faults]
1.68559s  3.3280us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060a20000  [Unified Memory Memcpy DtoH]
1.68559s  3.5840us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060a30000  [Unified Memory Memcpy DtoH]
1.68561s         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060a20000  [Unified Memory CPU page faults]
1.70334s  3.5520us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060a40000  [Unified Memory Memcpy DtoH]
1.70334s  5.7280us                    -               -         -         -         -  Tesla V100-SXM2         -         -          192.000000KB   0x200060a50000  [Unified Memory Memcpy DtoH]
1.70337s         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060a40000  [Unified Memory CPU page faults]
1.73871s  3.6800us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060a80000  [Unified Memory Memcpy DtoH]
1.73871s  9.6640us                    -               -         -         -         -  Tesla V100-SXM2         -         -          448.000000KB   0x200060a90000  [Unified Memory Memcpy DtoH]
1.73873s         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060a80000  [Unified Memory CPU page faults]
1.80931s  3.2320us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060b00000  [Unified Memory Memcpy DtoH]
1.80931s  16.576us                    -               -         -         -         -  Tesla V100-SXM2         -         -          960.000000KB   0x200060b10000  [Unified Memory Memcpy DtoH]
1.80933s         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060b00000  [Unified Memory CPU page faults]

Regs: Number of registers used per CUDA thread. This number includes registers used internally by the CUDA driver and/or tools and can be more than what the compiler shows.
SSMem: Static shared memory allocated per CUDA block.
DSMem: Dynamic shared memory allocated per CUDA block.
