Benchmark,InputData,ID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy
cfd,097K,79,cuda_time_step,784615384.62,67.43,14566,1164383012.82,67.43,12480,22.04,11646.84,5.31,14.34,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.99,53.11,60,93.75
cfd,097K,80,cuda_compute_flux,809910641.75,36.30,47252,1193863390.20,36.30,39392,32.64,35652.18,22.57,30.49,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.79,38.73,30,46.88
cfd,097K,81,cuda_time_step,864383561.64,65.19,15002,1281135844.75,65.19,11680,21.40,11618.61,5.14,14.37,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.71,52.68,60,93.75
cfd,097K,82,cuda_compute_flux,853088480.80,35.40,48440,1258255947.41,35.40,38336,31.58,35515.54,21.92,30.67,192,506,60,0,0,0,97152,1.27,32,5,32,10,25.20,39.37,30,46.88
cfd,097K,83,cuda_time_step,793650793.65,69.17,14261,1176601080.25,69.17,12096,22.52,11430.92,5.41,14.61,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.08,53.24,60,93.75
cfd,097K,84,cuda_compute_step_factor,775800711.74,46.43,10337,1148057532.62,46.43,8992,13.58,7893.06,17.88,11.54,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.30,47.35,60,93.75
cfd,097K,85,cuda_compute_flux,841749792.19,35.77,47981,1241046688.83,35.77,38496,32.00,36339.18,22.32,29.87,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.48,38.25,30,46.88
cfd,097K,86,cuda_time_step,856353591.16,66.45,14752,1270574355.43,66.45,11584,21.75,11529.54,5.23,14.48,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.77,52.76,60,93.75
cfd,097K,87,cuda_compute_flux,828377230.25,37.20,46147,1220126203.63,37.20,37664,33.18,35365.14,22.95,30.69,192,506,60,0,0,0,97152,1.27,32,5,32,10,25.44,39.75,30,46.88
cfd,097K,88,cuda_time_step,825453367.88,64.95,15153,1223931347.15,64.95,12352,21.19,11501.23,5.09,14.52,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.98,53.10,60,93.75
cfd,097K,89,cuda_compute_flux,854218880.53,35.38,48452,1259716130.60,35.38,38304,31.77,35614.68,21.81,30.42,192,506,60,0,0,0,97152,1.27,32,5,32,10,25.22,39.40,30,46.88
