kernel,InputData,MemLocation,h_areas,h_elements_surrounding_elements,h_normals,label,TimePerc,Time,calls,AVG,MIN,MAX
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationCPU,0535,90.57,1.92e+03,6000,0.320027,0.311518,3.668683
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,none,0540,90.58,1.92e+03,6000,0.320306,0.311998,5.834272
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetReadMostly,0541,90.58,1.92e+03,6000,0.320515,0.311742,5.600577
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,0542,90.58,1.92e+03,6000,0.320247,0.311134,5.899200
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetAccessedByGPU,0543,97.34,7.32e+03,6000,1.220017,1.205561,4.016617
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,0544,97.34,7.33e+03,6000,1.221932,1.206137,10.45373
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationCPU,0545,90.60,1.92e+03,6000,0.320521,0.312415,6.138846
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationCPU,none,0550,70.54,477.8108,6000,0.079635,0.068191,4.197098
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetReadMostly,0551,70.52,478.4541,6000,0.079742,0.067712,4.725991
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,0552,70.53,478.0472,6000,0.079674,0.068800,4.465800
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetAccessedByGPU,0553,96.50,5.52e+03,6000,0.919459,0.907547,2.447538
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,0554,96.51,5.52e+03,6000,0.920582,0.907067,9.125483
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationCPU,0555,70.54,478.3503,6000,0.079725,0.068448,4.434408
cuda_compute_flux,0.2M,Host,none,none,none,1000,70.58,480.0816,6000,0.080013,0.068896,4.275528
cuda_compute_flux,0.2M,Host,none,none,cudaMemAdviseSetReadMostly,1001,70.58,480.4324,6000,0.080072,0.068703,4.349448
cuda_compute_flux,0.2M,Host,none,none,cudaMemAdviseSetPreferredLocationGPU,1002,70.60,480.4730,6000,0.080078,0.069216,4.483240
cuda_compute_flux,0.2M,Host,none,none,cudaMemAdviseSetAccessedByGPU,1003,96.52,5.52e+03,6000,0.920499,0.906746,2.457202
cuda_compute_flux,0.2M,Host,none,none,cudaMemAdviseSetPreferredLocationGPU,1004,96.52,5.53e+03,6000,0.921164,0.907227,9.164716
cuda_compute_flux,0.2M,Host,none,none,cudaMemAdviseSetPreferredLocationCPU,1005,70.61,480.1953,6000,0.080032,0.068384,4.560872
cuda_compute_flux,0.2M,Host,none,cudaMemAdviseSetReadMostly,none,1010,70.58,480.5496,6000,0.080091,0.068672,4.710086
cuda_compute_flux,0.2M,Host,none,cudaMemAdviseSetReadMostly,cudaMemAdviseSetReadMostly,1011,70.58,480.4932,6000,0.080082,0.068543,4.572167
cuda_compute_flux,0.2M,Host,none,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationGPU,1012,70.58,479.9337,6000,0.079988,0.068768,4.285993
cuda_compute_flux,0.2M,Host,none,cudaMemAdviseSetReadMostly,cudaMemAdviseSetAccessedByGPU,1013,96.51,5.52e+03,6000,0.919859,0.907579,2.263060
cuda_compute_flux,0.2M,Host,none,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationGPU,1014,96.52,5.53e+03,6000,0.921677,0.907546,9.029517
cuda_compute_flux,0.2M,Host,none,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationCPU,1015,70.58,480.2580,6000,0.080043,0.068992,4.576487
cuda_compute_flux,0.2M,Host,none,cudaMemAdviseSetPreferredLocationGPU,none,1020,70.55,479.7733,6000,0.079962,0.068575,4.222633
cuda_compute_flux,0.2M,Host,none,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetReadMostly,1021,70.59,480.3663,6000,0.080061,0.068128,4.557703
cuda_compute_flux,0.2M,Host,none,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,1022,70.60,480.2200,6000,0.080036,0.068640,4.181354
cuda_compute_flux,0.2M,Host,none,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetAccessedByGPU,1023,96.51,5.52e+03,6000,0.919259,0.906682,2.417523
cuda_compute_flux,0.2M,Host,none,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,1024,96.52,5.53e+03,6000,0.920902,0.907419,8.760270
cuda_compute_flux,0.2M,Host,none,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationCPU,1025,70.58,479.9021,6000,0.079983,0.068096,4.294537
cuda_compute_flux,0.2M,Host,none,cudaMemAdviseSetAccessedByGPU,none,1030,90.57,1.92e+03,6000,0.319954,0.311230,3.634891
cuda_compute_flux,0.2M,Host,none,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetReadMostly,1031,90.57,1.92e+03,6000,0.320035,0.311678,3.921355
cuda_compute_flux,0.2M,Host,none,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationGPU,1032,90.58,1.92e+03,6000,0.320502,0.311550,3.571148
cuda_compute_flux,0.2M,Host,none,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetAccessedByGPU,1033,97.35,7.32e+03,6000,1.220157,1.205369,1.342713
